"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2026-01-17","Zelle Payment To Karina Laguna Jpm99c2dgcyn",80,"posted","Nanny","Wants",false,,"regular","Total Checking","5670",,""
"2026-01-17","Apex Wireless Of Texaustin",55.22,"posted","Utilities","Needs",false,,"regular","Platinum Card®","1008",,""
"2026-01-16","Highland Hospital",4.68,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-16","Ic* Instacart",76.92,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-16","Med*stanford Health Care",100,"posted","Healthcare","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-16","Zelle Payment To Karina Laguna Jpm99c268zen",420,"posted","Nanny","Wants",false,,"regular","Total Checking","5670",,""
"2026-01-16","External Deposit: Meta",-426,"posted","",,true,,"income","Regular Checking","5918",,""
"2026-01-16","Direct Deposit Meta Payroll (cash)",-3441.81,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-16","Korean food. Thank you! from Charmaine Ng",-100,"posted","Restaurants","Wants",false,,"regular","Anchita-Venkatesh",,,""
"2026-01-15","Sp Tommyjohn",186.06,"posted","Clothing","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-15","Safeway",55.36,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-15","Eyeconic Inc",84.12,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-15","Direct Deposit Alameda Healpr Payment (cash)",-5594.15,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-15","Wire Transfer To Bank (cash)",1700,"posted","Home Maintenance","Needs",false,"Glass Replacement","regular","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-14","85c Bakery Cafe Usa",42.9,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-14","Trader Joe's",33.26,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-14","American College Of Denti",405,"posted","Dental Expenses","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-14","Med*stanford Health Care",115,"posted","Healthcare","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-14","Direct Debit Citi Autopay Payment (cash)",570.88,"posted","",,true,,"internal transfer","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-14","Autopay Rautopay Auto-pmt",-570.88,"posted","",,true,,"internal transfer","Costco Anywhere Visa® Card by Citi","7178",,""
"2026-01-14","Platinum Digital Entertainment Credit",-19.99,"posted","Shops","Wants",false,,"regular","Platinum Card®","1008",,""
"2026-01-13","Highland Hospital",4.02,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-13","Kindercare",549,"posted","Day Care and Preschools","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,"Kindercare"
"2026-01-13","Apni Mandi Farmers Mar",124.24,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-13","Costco",-10.2,"posted","Groceries","Needs",false,,"regular","Costco Anywhere Visa® Card by Citi","7178",,""
"2026-01-12","Highland Hospital",12.87,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-12","Highland Hospital",13.32,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-12","Cfx -e-pass Airport",1.72,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-12","Google Nest",200,"posted","Utilities","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-12","Sp Baby Brezza",57.54,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-12","Casa Technologie Casa Techn",375,"posted","Home Maintenance","Needs",false,,"regular","Total Checking","5670",,""
"2026-01-12","Xfer To  Cvtdtxfr",850.94,"posted","Car","Fixed Costs",false,,"regular","Regular Checking","5918",,""
"2026-01-12","Direct Debit Chase Credit Cautopay (cash)",2472.03,"posted","",,true,,"internal transfer","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-12","Direct Debit Amex Epayment Ach (cash)",4195.51,"posted","",,true,,"internal transfer","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-12","Direct Debit Scholarshare Acontrib (cash)",1000,"posted","529","Investments",true,,"regular","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-12","Costco",145.03,"posted","Groceries","Needs",false,,"regular","Costco Anywhere Visa® Card by Citi","7178",,""
"2026-01-12","Disneyplus",19.99,"posted","Subscriptions","Needs",false,,"regular","Platinum Card®","1008",,""
"2026-01-11","Rummy from Bhaskar Srinivasiah",-25,"posted","Other","Wants",false,,"regular","Anchita-Venkatesh",,,""
"2026-01-10","Cuppa Yo Dublin",6.54,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-10","Cuppa Yo Dublin",14.44,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-10","San Francisco Marathon",249.84,"posted","Fitness","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-10","Zelle Payment To Preethi Jpm99c1lpq9d",650,"posted","Other","Wants",false,,"regular","Total Checking","5670",,""
"2026-01-10","Photos from Anu Venkatesh",-300,"posted","Other","Wants",false,,"regular","Anchita-Venkatesh",,,""
"2026-01-10","Platinum Hotel Credit",-300,"posted","Anchita Fun Money",,true,"Japan 26","regular","Platinum Card®","1008",,""
"2026-01-09","Village Of Twin Lakes",-2.5,"posted","Other","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-09","World Cup Soccer Camps",239,"posted","Kids Activities","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-09","Ic* Instacart",73.54,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-09","Sports Basement",395,"posted","Shops","Wants",false,"Samarth Ski Trip 25","regular","Ultimate Rewards®","9835",,""
"2026-01-09","Posmscq 7-eleven Orlando Flqrf6jv8 (cash)",4.48,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-09","Autopay Payment - Thank You",-4195.51,"posted","",,true,,"internal transfer","Platinum Card®","1008",,""
"2026-01-09","Amex Fine Hotels Andamextravel.com",497.41,"posted","Anchita Fun Money",,true,"Japan 26","regular","Platinum Card®","1008",,""
"2026-01-08","Wdw Saratoga Spring",573.31,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-08","Qdoba",13.09,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-08","Wdw Dining Resv",50,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-08","Par*zaza Cuban Comfort Fo",12.57,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-08","Carts Sfo Smartecarte",9,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-08","Eyeconic Inc",31.07,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-08","Casa Technologie Casa Techn",58,"posted","Home Maintenance","Needs",false,,"regular","Total Checking","5670",,""
"2026-01-08","Direct Debit Chase Credit Cautopay (cash)",992.13,"posted","",,true,,"internal transfer","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-08","Exxonmobil",24.22,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Costco Anywhere Visa® Card by Citi","7178",,""
"2026-01-08","Groceries to Anu Venkatesh",50,"posted","Groceries","Needs",false,,"regular","Anchita-Venkatesh",,,""
"2026-01-07","Wdw Cosmic Ray's",21.81,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-07","Morimoto Asia",150,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-07","Wdw Ice Cream Carts",6.38,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-07","Wdw Ice Cream Carts",13.08,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-07","Wdw Lunching Pad",39.49,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-07","Wdw Emporium",51.1,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-07","☕ to Jignesh Sharma",28,"posted","Subscriptions","Needs",false,,"regular","Anand-Prasad-29",,,""
"2026-01-06","Wdw Sea Base",7.98,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-06","Wdw Kringla Baker",11.05,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-06","El Patron Restaurant",91.07,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-06","Kindercare",549,"posted","Day Care and Preschools","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,"Kindercare"
"2026-01-06","Ic* Instacart",108.63,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Ultimate Rewards®","9835",,""
"2026-01-06","Platinum Uber One Credit",-96,"posted","Subscriptions","Needs",false,,"regular","Platinum Card®","1008",,""
"2026-01-05","3004 - 2 Joffrey's Co",6.38,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-05","Wdw Cold Hydraulics",18.08,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-05","Blaze Pizza",57.24,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-05","Wdw Sci-fi Dine-in",92,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-05","Wdw Lightning Lane",76.68,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-05","Offer:the Tumi Shop At Ch",-250,"posted","Shops","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-05","Direct Debit Scholarshare Acontrib (cash)",1000,"posted","529","Investments",true,,"regular","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-05","Direct Debit Solar Integrat(cash)",50.5,"posted","Utilities","Needs",false,,"regular","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-04","Wdw Creaturecomfort",5.48,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Wdw Lightning Lane",111.84,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Wdw Joharitreasures",5.86,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Wdw Pizza Ice Cream",20.74,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Wdw Creaturecomfort",4.25,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Yak & Yeti Restaurant",99.87,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Wdw Lightning Lane",92.67,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Wdw First Aid",2.99,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Wdw Harambe Market",11.27,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-04","Uber Eats",65.88,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Platinum Card®","1008",,""
"2026-01-04","Uber",96,"posted","Subscriptions","Needs",false,,"regular","Platinum Card®","1008",,""
"2026-01-03","Amk Legoland Florida Tp",6.94,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-03","Amk Legoland Florida Tp",77.4,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-03","Legoland Florida",76,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-03","Wdw Sanaa",86,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-03","Wdw Sanaa",6.17,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-03","Publix",62.9,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Ultimate Rewards®","9835",,""
"2026-01-03","Caremark Mail",80,"posted","Healthcare","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-02","Amk Legoland Fl Mobile",28.65,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-02","Amk Legoland Florida Tp",24.58,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-02","Amk Legoland Florida Tp",22.77,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-02","Legoland Florida",36.38,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-02","Amk Legoland Fl Hotel",5.35,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-02","Spotify",11.99,"posted","Subscriptions","Needs",false,,"regular","Ultimate Rewards®","9835",,"Spotify"
"2026-01-02","Legoland Florida",136.94,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Ultimate Rewards®","9835",,""
"2026-01-02","Casa Technologie Casa Techn",37.5,"posted","Home Maintenance","Needs",false,,"regular","Total Checking","5670",,""
"2026-01-02","Zelle Payment To Karina Laguna",315,"posted","Nanny","Wants",false,,"regular","Total Checking","5670",,""
"2026-01-02","Zelle Payment To Dini Addiati",680,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Total Checking","5670",,""
"2026-01-02","External Deposit: Meta",-426,"posted","",,true,,"income","Regular Checking","5918",,""
"2026-01-02","Direct Debit Central Loan Aloan Paymt (cash)",7588.72,"posted","Home","Fixed Costs",false,,"regular","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-02","Direct Deposit Meta Payroll (cash)",-4101.08,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-02","December Interest Interest Paid_interest",-115.72,"posted","",,true,,"income","Individual Cash Account","2513",,""
"2026-01-01","Moe's Southwest Grill",50.11,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-01","Shops At Chase $250-year",-250,"posted","",,true,,"internal transfer","Sapphire Reserve","8119",,""
"2026-01-01","Cfx -e-pass Airport",10,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2026-01-01","Walgreens",37.22,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Ultimate Rewards®","9835",,""
"2026-01-01","Facebook",320,"posted","Fitness","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-01","Venmo",150,"posted","",,true,,"internal transfer","Total Checking","5670",,""
"2025-12-31","Hilton",56.35,"posted","Travel & Vacation","Wants",false,"Samarth Ski Trip 25","regular","Sapphire Reserve","8119",,""
"2025-12-31","Cl *chase Travel",371.87,"posted","Travel & Vacation","Wants",false,"Orlando 26","regular","Sapphire Reserve","8119",,""
"2025-12-31","Dollar Tree",10.52,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Old Navy",27.55,"posted","Clothing","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Shc Bw Self Parking",5,"posted","Restaurants","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Sprouts Farmers Mar",49.15,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Trader Joe's",36.32,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Dollar Tree",3.88,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Old Navy",62.81,"posted","Clothing","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Columbia Sportswear",-137.55,"posted","Clothing","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2025-12-31","Zelle Payment To Golden Era",10,"posted","Shops","Wants",false,,"regular","Total Checking","5670",,""
"2025-12-31","Alameda Health S Direct-pay  Ctx",-2382.39,"posted","",,true,,"income","Total Checking","5670",,""
"2025-12-31","Dividend",-0.33,"posted","",,true,,"regular","Regular Checking","5918",,""
"2025-12-31","Direct Deposit Alameda Healpr Payment (cash)",-5430.91,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
